origin_year,draw_id,horizon,indicator,value
1985,179,1,union_membership_rate,10.757868121887576
1985,179,1,vep_turnout_pct,43.2075658619743
1985,180,1,trust_media_pct,29.386408358690947
1985,180,1,union_membership_rate,10.765636227724306
1985,180,1,vep_turnout_pct,43.42802031284241
1985,181,1,trust_media_pct,29.428437022522964
1985,181,1,union_membership_rate,10.765698428690591
1985,181,1,vep_turnout_pct,43.55948872695307
1985,182,1,trust_media_pct,29.44095761490753
1985,182,1,union_membership_rate,10.767106663735682
1985,182,1,vep_turnout_pct,43.63305351852252
1985,183,1,trust_media_pct,29.468422342170598
1985,183,1,union_membership_rate,10.76842218648911
1985,183,1,vep_turnout_pct,43.70447336857198
1985,184,1,trust_media_pct,29.484868805423517
1985,184,1,union_membership_rate,10.77124356027034
1985,184,1,vep_turnout_pct,43.82473271662801
1985,185,1,trust_media_pct,29.49608773007329
1985,185,1,union_membership_rate,10.772571198139216
1985,185,1,vep_turnout_pct,43.828344598028046
1985,186,1,trust_media_pct,29.55124424898129
1985,186,1,union_membership_rate,10.776296066458238
1985,186,1,vep_turnout_pct,43.86383740967373
1985,187,1,trust_media_pct,29.59506588553289
1985,187,1,union_membership_rate,10.787313124499983
1985,187,1,vep_turnout_pct,43.89880217012279
1985,188,1,trust_media_pct,29.616781661929902
1985,188,1,union_membership_rate,10.788231746270698
1985,188,1,vep_turnout_pct,44.12473022003579
1985,189,1,trust_media_pct,29.617861543234007
1985,189,1,union_membership_rate,10.792707744222824
1985,189,1,vep_turnout_pct,44.23983812948211
1985,190,1,trust_media_pct,29.655962596704867
1985,190,1,union_membership_rate,10.794154467859219
1985,190,1,vep_turnout_pct,44.38402930722534
1985,191,1,trust_media_pct,29.663716462900048
1985,191,1,union_membership_rate,10.798798198691888
1985,191,1,vep_turnout_pct,44.464535381233
1985,192,1,trust_media_pct,29.685784753600764
1985,192,1,union_membership_rate,10.801874651272149
1985,192,1,vep_turnout_pct,44.51042381247485
1985,193,1,trust_media_pct,29.7219153293305
1985,193,1,union_membership_rate,10.803366072644138
1985,193,1,vep_turnout_pct,44.94007210532475
1985,194,1,trust_media_pct,29.726234925950685
1985,194,1,union_membership_rate,10.805938946397564
1985,194,1,vep_turnout_pct,44.949762848463806
1985,195,1,trust_media_pct,29.7273976651758
1985,195,1,union_membership_rate,10.815999750986881
